dh,dd,hh,cnt
2018010912,20180109,12,2006
2018010913,20180109,13,1979
2018010914,20180109,14,2001
2018010915,20180109,15,1974
2018010916,20180109,16,1887
2018010917,20180109,17,1697
2018010918,20180109,18,1609
2018010919,20180109,19,1490
2018010920,20180109,20,1388
2018010921,20180109,21,1167
2018010922,20180109,22,892
2018010923,20180109,23,500
2018011000,20180110,00,388
2018011001,20180110,01,475
2018011002,20180110,02,535
2018011003,20180110,03,593
2018011004,20180110,04,649
2018011005,20180110,05,728
2018011006,20180110,06,925
2018011007,20180110,07,1308
2018011008,20180110,08,1644
2018011009,20180110,09,1871
2018011010,20180110,10,2049
2018011011,20180110,11,2178
2018011012,20180110,12,2193
2018011013,20180110,13,2202
2018011014,20180110,14,2212
2018011015,20180110,15,2172
2018011016,20180110,16,2069
2018011017,20180110,17,1903
2018011018,20180110,18,1772
2018011019,20180110,19,1678
2018011020,20180110,20,1572
2018011021,20180110,21,1379
2018011022,20180110,22,1050
2018011023,20180110,23,565
2018011100,20180111,00,499
2018011101,20180111,01,597
2018011102,20180111,02,684
2018011103,20180111,03,751
2018011104,20180111,04,822
2018011105,20180111,05,902
2018011106,20180111,06,1140
2018011107,20180111,07,1549
2018011108,20180111,08,1929
2018011109,20180111,09,2239
2018011110,20180111,10,2402
2018011111,20180111,11,2512
2018011112,20180111,12,2590
2018011113,20180111,13,2557
2018011114,20180111,14,2549
2018011115,20180111,15,2406
2018011116,20180111,16,2198
2018011117,20180111,17,1917
2018011118,20180111,18,1734
2018011119,20180111,19,1574
2018011120,20180111,20,1463
2018011121,20180111,21,1268
2018011122,20180111,22,937
2018011123,20180111,23,531
2018011200,20180112,00,411
2018011201,20180112,01,508
2018011202,20180112,02,579
2018011203,20180112,03,641
2018011204,20180112,04,692
2018011205,20180112,05,787
2018011206,20180112,06,992
2018011207,20180112,07,1420
2018011208,20180112,08,1756
2018011209,20180112,09,1996
2018011210,20180112,10,2171
2018011211,20180112,11,2265
2018011212,20180112,12,2294
2018011213,20180112,13,2283
2018011214,20180112,14,2232
2018011215,20180112,15,2158
2018011216,20180112,16,2041
2018011217,20180112,17,1851
2018011218,20180112,18,1714
2018011219,20180112,19,1601
2018011220,20180112,20,1495
2018011221,20180112,21,1305
2018011222,20180112,22,974
2018011223,20180112,23,562
2018011300,20180113,00,463
2018011301,20180113,01,580
2018011302,20180113,02,627
2018011303,20180113,03,693
2018011304,20180113,04,737
2018011305,20180113,05,829
2018011306,20180113,06,974
2018011307,20180113,07,1390
2018011308,20180113,08,1757
2018011309,20180113,09,2094
2018011310,20180113,10,2331
2018011311,20180113,11,2444
2018011312,20180113,12,2515
2018011313,20180113,13,2508
2018011314,20180113,14,2466
2018011315,20180113,15,2351
2018011316,20180113,16,2182
2018011317,20180113,17,1975
2018011318,20180113,18,1789
2018011319,20180113,19,1680
2018011320,20180113,20,1557
2018011321,20180113,21,1352
2018011322,20180113,22,1023
2018011323,20180113,23,539
2018011400,20180114,00,444
2018011401,20180114,01,576
2018011402,20180114,02,612
2018011403,20180114,03,679
2018011404,20180114,04,736
2018011405,20180114,05,812
2018011406,20180114,06,1003
2018011407,20180114,07,1449
2018011408,20180114,08,1860
2018011409,20180114,09,2184
2018011410,20180114,10,2441
2018011411,20180114,11,2585
2018011412,20180114,12,2593
2018011413,20180114,13,2603
2018011414,20180114,14,2548
2018011415,20180114,15,2427
2018011416,20180114,16,2174
2018011417,20180114,17,1921
2018011418,20180114,18,1761
2018011419,20180114,19,1563
2018011420,20180114,20,1414
2018011421,20180114,21,1194
2018011422,20180114,22,893
2018011423,20180114,23,462
2018011500,20180115,00,389
2018011501,20180115,01,480
2018011502,20180115,02,532
2018011503,20180115,03,591
2018011504,20180115,04,638
2018011505,20180115,05,739
2018011506,20180115,06,925
2018011507,20180115,07,1351
2018011508,20180115,08,1765
2018011509,20180115,09,2037
2018011510,20180115,10,2230
2018011511,20180115,11,2350
2018011512,20180115,12,2421
2018011513,20180115,13,2424
2018011514,20180115,14,2416
2018011515,20180115,15,2394
2018011516,20180115,16,2250
2018011517,20180115,17,1970
2018011518,20180115,18,1821
2018011519,20180115,19,1675
2018011520,20180115,20,1521
2018011521,20180115,21,1320
2018011522,20180115,22,967
2018011523,20180115,23,506
2018011600,20180116,00,396
2018011601,20180116,01,491
2018011602,20180116,02,574
2018011603,20180116,03,642
2018011604,20180116,04,698
2018011605,20180116,05,780
2018011606,20180116,06,990
2018011607,20180116,07,1389
2018011608,20180116,08,1834
2018011609,20180116,09,2099
2018011610,20180116,10,2312
2018011611,20180116,11,2398
2018011612,20180116,12,2447
2018011613,20180116,13,2447
2018011614,20180116,14,2450
2018011615,20180116,15,2375
2018011616,20180116,16,2180
2018011617,20180116,17,1912
2018011618,20180116,18,1721
2018011619,20180116,19,1579
2018011620,20180116,20,1458
2018011621,20180116,21,1249
2018011622,20180116,22,928
2018011623,20180116,23,522
2018011700,20180117,00,411
2018011701,20180117,01,517
2018011702,20180117,02,582
2018011703,20180117,03,646
2018011704,20180117,04,699
2018011705,20180117,05,780
2018011706,20180117,06,1005
2018011707,20180117,07,1436
2018011708,20180117,08,1779
2018011709,20180117,09,2031
2018011710,20180117,10,2221
2018011711,20180117,11,2320
2018011712,20180117,12,2391
2018011713,20180117,13,2389
2018011714,20180117,14,2338
2018011715,20180117,15,2300
2018011716,20180117,16,2155
2018011717,20180117,17,1887
2018011718,20180117,18,1726
2018011719,20180117,19,1632
2018011720,20180117,20,1491
2018011721,20180117,21,1299
2018011722,20180117,22,950
2018011723,20180117,23,503
2018011800,20180118,00,439
2018011801,20180118,01,537
2018011802,20180118,02,612
2018011803,20180118,03,683
2018011804,20180118,04,738
2018011805,20180118,05,820
2018011806,20180118,06,1023
2018011807,20180118,07,1460
2018011808,20180118,08,1824
2018011809,20180118,09,2093
2018011810,20180118,10,2260
2018011811,20180118,11,2367
2018011812,20180118,12,2422
2018011813,20180118,13,2451
2018011814,20180118,14,2432
2018011815,20180118,15,2344
2018011816,20180118,16,2166
2018011817,20180118,17,1927
2018011818,20180118,18,1786
2018011819,20180118,19,1698
2018011820,20180118,20,1571
2018011821,20180118,21,1343
2018011822,20180118,22,999
2018011823,20180118,23,541
2018011900,20180119,00,432
2018011901,20180119,01,541
2018011902,20180119,02,602
2018011903,20180119,03,669
2018011904,20180119,04,731
2018011905,20180119,05,817
2018011906,20180119,06,1005
2018011907,20180119,07,1418
2018011908,20180119,08,1779
2018011909,20180119,09,2037
2018011910,20180119,10,2240
2018011911,20180119,11,2383
2018011912,20180119,12,2483
2018011913,20180119,13,2539
2018011914,20180119,14,2596
2018011915,20180119,15,2557
2018011916,20180119,16,2365
2018011917,20180119,17,2027
2018011918,20180119,18,1842
2018011919,20180119,19,1742
2018011920,20180119,20,1640
2018011921,20180119,21,1429
2018011922,20180119,22,1122
2018011923,20180119,23,609
2018012000,20180120,00,508
2018012001,20180120,01,585
2018012002,20180120,02,655
2018012003,20180120,03,717
2018012004,20180120,04,781
2018012005,20180120,05,880
2018012006,20180120,06,1077
2018012007,20180120,07,1504
2018012008,20180120,08,1847
2018012009,20180120,09,2287
2018012010,20180120,10,2661
2018012011,20180120,11,2780
2018012012,20180120,12,2791
2018012013,20180120,13,2859
2018012014,20180120,14,2864
2018012015,20180120,15,2820
2018012016,20180120,16,2597
2018012017,20180120,17,2261
2018012018,20180120,18,2032
2018012019,20180120,19,1906
2018012020,20180120,20,1761
2018012021,20180120,21,1582
2018012022,20180120,22,1156
2018012023,20180120,23,622
2018012100,20180121,00,529
2018012101,20180121,01,604
2018012102,20180121,02,707
2018012103,20180121,03,770
2018012104,20180121,04,818
2018012105,20180121,05,917
2018012106,20180121,06,1103
2018012107,20180121,07,1588
2018012108,20180121,08,2010
2018012109,20180121,09,2403
2018012110,20180121,10,2701
2018012111,20180121,11,2750
2018012112,20180121,12,2829
2018012113,20180121,13,2863
2018012114,20180121,14,2783
2018012115,20180121,15,2493
2018012116,20180121,16,2272
2018012117,20180121,17,2008
2018012118,20180121,18,1793
2018012119,20180121,19,1640
2018012120,20180121,20,1501
2018012121,20180121,21,1306
2018012122,20180121,22,946
2018012123,20180121,23,524
2018012200,20180122,00,422
2018012201,20180122,01,527
2018012202,20180122,02,578
2018012203,20180122,03,648
2018012204,20180122,04,727
2018012205,20180122,05,809
2018012206,20180122,06,1013
2018012207,20180122,07,1436
2018012208,20180122,08,1806
2018012209,20180122,09,2001
2018012210,20180122,10,2182
2018012211,20180122,11,2256
2018012212,20180122,12,2309
2018012213,20180122,13,2302
2018012214,20180122,14,2282
2018012215,20180122,15,2224
2018012216,20180122,16,2110
2018012217,20180122,17,1951
2018012218,20180122,18,1812
2018012219,20180122,19,1678
2018012220,20180122,20,1546
2018012221,20180122,21,1334
2018012222,20180122,22,983
2018012223,20180122,23,510
2018012300,20180123,00,407
2018012301,20180123,01,505
2018012302,20180123,02,566
2018012303,20180123,03,633
2018012304,20180123,04,699
2018012305,20180123,05,790
2018012306,20180123,06,1009
2018012307,20180123,07,1411
2018012308,20180123,08,1745
2018012309,20180123,09,2024
2018012310,20180123,10,2223
2018012311,20180123,11,2313
2018012312,20180123,12,2365
2018012313,20180123,13,2382
2018012314,20180123,14,2416
2018012315,20180123,15,2354
2018012316,20180123,16,2148
2018012317,20180123,17,1870
2018012318,20180123,18,1704
2018012319,20180123,19,1559
2018012320,20180123,20,1432
2018012321,20180123,21,1258
2018012322,20180123,22,949
2018012323,20180123,23,529
2018012400,20180124,00,424
2018012401,20180124,01,540
2018012402,20180124,02,606
2018012403,20180124,03,657
2018012404,20180124,04,695
2018012405,20180124,05,778
2018012406,20180124,06,990
2018012407,20180124,07,1439
2018012408,20180124,08,1798
2018012409,20180124,09,2009
2018012410,20180124,10,2180
2018012411,20180124,11,2253
2018012412,20180124,12,2318
2018012413,20180124,13,2326
2018012414,20180124,14,2334
2018012415,20180124,15,2216
2018012416,20180124,16,2100
2018012417,20180124,17,1867
2018012418,20180124,18,1706
2018012419,20180124,19,1597
2018012420,20180124,20,1475
2018012421,20180124,21,1281
2018012422,20180124,22,974
2018012423,20180124,23,518
2018012500,20180125,00,421
2018012501,20180125,01,511
2018012502,20180125,02,562
2018012503,20180125,03,625
2018012504,20180125,04,689
2018012505,20180125,05,778
2018012506,20180125,06,967
2018012507,20180125,07,1365
2018012508,20180125,08,1699
2018012509,20180125,09,1964
2018012510,20180125,10,2119
2018012511,20180125,11,2181
2018012512,20180125,12,2209
2018012513,20180125,13,2222
2018012514,20180125,14,2259
2018012515,20180125,15,2192
2018012516,20180125,16,2072
2018012517,20180125,17,1905
2018012518,20180125,18,1726
2018012519,20180125,19,1611
2018012520,20180125,20,1473
2018012521,20180125,21,1269
2018012522,20180125,22,953
2018012523,20180125,23,523
2018012600,20180126,00,403
2018012601,20180126,01,499
2018012602,20180126,02,571
2018012603,20180126,03,642
2018012604,20180126,04,686
2018012605,20180126,05,775
2018012606,20180126,06,954
2018012607,20180126,07,1342
2018012608,20180126,08,1682
2018012609,20180126,09,1907
2018012610,20180126,10,2103
2018012611,20180126,11,2235
2018012612,20180126,12,2291
2018012613,20180126,13,2328
2018012614,20180126,14,2276
2018012615,20180126,15,2201
2018012616,20180126,16,2071
2018012617,20180126,17,1889
2018012618,20180126,18,1717
2018012619,20180126,19,1598
2018012620,20180126,20,1457
2018012621,20180126,21,1257
2018012622,20180126,22,986
2018012623,20180126,23,526
2018012700,20180127,00,440
2018012701,20180127,01,530
2018012702,20180127,02,613
2018012703,20180127,03,669
2018012704,20180127,04,722
2018012705,20180127,05,794
2018012706,20180127,06,945
2018012707,20180127,07,1373
2018012708,20180127,08,1751
2018012709,20180127,09,2044
2018012710,20180127,10,2240
2018012711,20180127,11,2319
2018012712,20180127,12,2361
2018012713,20180127,13,2344
2018012714,20180127,14,2325
2018012715,20180127,15,2299
2018012716,20180127,16,2186
2018012717,20180127,17,2027
2018012718,20180127,18,1891
2018012719,20180127,19,1787
2018012720,20180127,20,1616
2018012721,20180127,21,1415
2018012722,20180127,22,1121
2018012723,20180127,23,632
2018012800,20180128,00,507
2018012801,20180128,01,634
2018012802,20180128,02,728
2018012803,20180128,03,786
2018012804,20180128,04,840
2018012805,20180128,05,912
2018012806,20180128,06,1055
2018012807,20180128,07,1423
2018012808,20180128,08,1744
2018012809,20180128,09,2090
2018012810,20180128,10,2214
2018012811,20180128,11,2300
2018012812,20180128,12,2301
2018012813,20180128,13,2235
2018012814,20180128,14,2191
2018012815,20180128,15,2051
2018012816,20180128,16,1941
2018012817,20180128,17,1819
2018012818,20180128,18,1694
2018012819,20180128,19,1587
2018012820,20180128,20,1405
2018012821,20180128,21,1219
2018012822,20180128,22,927
2018012823,20180128,23,479
2018012900,20180129,00,427
2018012901,20180129,01,548
2018012902,20180129,02,610
2018012903,20180129,03,677
2018012904,20180129,04,726
2018012905,20180129,05,801
2018012906,20180129,06,967
2018012907,20180129,07,1354
2018012908,20180129,08,1651
2018012909,20180129,09,1835
2018012910,20180129,10,1975
2018012911,20180129,11,2100
2018012912,20180129,12,2182
2018012913,20180129,13,2137
2018012914,20180129,14,2140
2018012915,20180129,15,2131
2018012916,20180129,16,2017
2018012917,20180129,17,1844
2018012918,20180129,18,1648
2018012919,20180129,19,1544
2018012920,20180129,20,1425
2018012921,20180129,21,1222
2018012922,20180129,22,922
2018012923,20180129,23,490
2018013000,20180130,00,376
2018013001,20180130,01,467
2018013002,20180130,02,548
2018013003,20180130,03,622
2018013004,20180130,04,673
2018013005,20180130,05,728
2018013006,20180130,06,902
2018013007,20180130,07,1321
2018013008,20180130,08,1671
2018013009,20180130,09,1878
2018013010,20180130,10,2057
2018013011,20180130,11,2153
2018013012,20180130,12,2212
2018013013,20180130,13,2250
2018013014,20180130,14,2247
2018013015,20180130,15,2181
2018013016,20180130,16,2060
2018013017,20180130,17,1863
2018013018,20180130,18,1734
2018013019,20180130,19,1626
2018013020,20180130,20,1499
2018013021,20180130,21,1298
2018013022,20180130,22,943
2018013023,20180130,23,494
2018013100,20180131,00,407
2018013101,20180131,01,513
2018013102,20180131,02,600
2018013103,20180131,03,660
2018013104,20180131,04,716
2018013105,20180131,05,794
2018013106,20180131,06,1001
2018013107,20180131,07,1371
2018013108,20180131,08,1735
2018013109,20180131,09,1980
2018013110,20180131,10,2221
2018013111,20180131,11,2321
2018013112,20180131,12,2361
2018013113,20180131,13,2337
2018013114,20180131,14,2355
2018013115,20180131,15,2331
2018013116,20180131,16,2144
2018013117,20180131,17,1935
2018013118,20180131,18,1773
2018013119,20180131,19,1665
2018013120,20180131,20,1552
2018013121,20180131,21,1352
2018013122,20180131,22,1027
2018013123,20180131,23,546
2018020100,20180201,00,426
2018020101,20180201,01,513
2018020102,20180201,02,583
2018020103,20180201,03,634
2018020104,20180201,04,695
2018020105,20180201,05,781
2018020106,20180201,06,990
2018020107,20180201,07,1397
2018020108,20180201,08,1744
2018020109,20180201,09,1996
2018020110,20180201,10,2222
2018020111,20180201,11,2269
2018020112,20180201,12,2309
2018020113,20180201,13,2323
2018020114,20180201,14,2302
2018020115,20180201,15,2236
2018020116,20180201,16,2132
2018020117,20180201,17,1929
2018020118,20180201,18,1769
2018020119,20180201,19,1652
2018020120,20180201,20,1560
2018020121,20180201,21,1317
2018020122,20180201,22,974
2018020123,20180201,23,502
2018020200,20180202,00,416
2018020201,20180202,01,547
2018020202,20180202,02,614
2018020203,20180202,03,686
2018020204,20180202,04,752
2018020205,20180202,05,818
2018020206,20180202,06,1030
2018020207,20180202,07,1458
2018020208,20180202,08,1862
2018020209,20180202,09,2189
2018020210,20180202,10,2458
2018020211,20180202,11,2565
2018020212,20180202,12,2513
2018020213,20180202,13,2503
2018020214,20180202,14,2548
2018020215,20180202,15,2466
2018020216,20180202,16,2251
2018020217,20180202,17,2068
2018020218,20180202,18,1909
2018020219,20180202,19,1797
2018020220,20180202,20,1645
2018020221,20180202,21,1417
2018020222,20180202,22,1039
2018020223,20180202,23,573
2018020300,20180203,00,437
2018020301,20180203,01,535
2018020302,20180203,02,602
2018020303,20180203,03,671
2018020304,20180203,04,735
2018020305,20180203,05,823
2018020306,20180203,06,1005
2018020307,20180203,07,1474
2018020308,20180203,08,1866
2018020309,20180203,09,2254
2018020310,20180203,10,2583
2018020311,20180203,11,2636
2018020312,20180203,12,2727
2018020313,20180203,13,2746
2018020314,20180203,14,2698
2018020315,20180203,15,2533
2018020316,20180203,16,2394
2018020317,20180203,17,2170
2018020318,20180203,18,1985
